,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
13310,"Jarrow Formulas, Jarro-Dophilus EPS, 25 миллиардов, 30 вегетарианских капсул",Jarrow Formulas,2024-12-01,30,шт.,0.05,5701,Поддержка пищеварения,13.7,8.4,4.8,jarro dophilus eps миллиард,13
13311,"VitaFusion, Жевательные мармеладки с пробиотиками, натуральная малина, персик и манго, 5 млрд КОЕ, 70 жевательных таблеток",VitaFusion,2024-12-01,70,шт.,0.29,5023,Поддержка пищеварения,13.5,7.2,7.1,жевательный мармеладка пробиотик натуральный малина персик манго млрд кой,13
13312,"NatureWise, пробиотики для женщин, WiseBiotics, с отсроченным высвобождением, 60 капсул",NatureWise,2026-03-01,60,шт.,0.07,5102,Поддержка пищеварения,11.0,5.8,5.7,пробиотик женщина wisebiotics отсрочивать высвобождение,13
13313,"Dr. Mercola, Комплексные пробиотики для женщин, 70 млрд КОЕ, 30 капсул",Dr. Mercola,2025-02-01,30,шт.,0.12,6100,Поддержка пищеварения,8.9,5.0,5.0,комплексный пробиотик женщина млрд кой,13
13314,"Solaray, Лиофилизированный мультидофильный пробиотик, 3 млрд КОЕ, 100 растительных капсул",Solaray,2025-03-01,100,шт.,0.07,2915,Поддержка пищеварения,10.9,5.0,5.0,лиофилизированный мультидофильный пробиотик млрд кой,13
13315,"Life Extension, FLORASSIST, Balance, 30 вегетарианских капсул с жидкостью",Life Extension,2025-01-01,30,шт.,0.05,4127,Поддержка пищеварения,9.3,4.6,4.6,florassist balance,13
13316,"Hyperbiotics, ""ПРО-бифидо"", пробиотический поддерживающий препарат для людей старше 50 лет, 60 таблеток замедленного высвобождения",Hyperbiotics,2025-02-01,60,шт.,0.07,5422,Поддержка пищеварения,9.7,5.1,5.1,бифидо пробиотический поддерживать препарат человек старый год,13
13317,"Nature's Way, пробиотики и пребиотики для женщин, с повышенной силой действия, 50 млрд КОЕ, 30 капсул с отсроченным высвобождением",Nature's Way,2025-07-01,30,шт.,0.07,3730,Поддержка пищеварения,13.6,8.0,6.4,пробиотик пребиотик женщина повышенный сила действие млрд кой,13
13318,"Kyolic, Kyo-Dophilus, пробиотик для ежедневного приема, 3 млрд КОЕ, 360 капсул",Kyolic,2027-06-01,360,шт.,0.41,9700,Поддержка пищеварения,7.6,7.6,14.0,kyo dophilus пробиотик ежедневный прием млрд кой,13
13319,"Flora, полный пробиотик, 34 млрд КОЕ, 30 вегетарианских капсул",Flora,,30,шт.,0.05,3670,Поддержка пищеварения,14.5,9.4,6.0,полный пробиотик млрд кой,13
13320,"Solaray, Мультидофильный пробиотик, 20 млрд КОЕ, 50 растительных капсул",Solaray,2025-04-01,50,шт.,0.07,2915,Поддержка пищеварения,11.0,5.0,5.0,мультидофильный пробиотик млрд кой,13
13321,"Garden of Life, пробиотики RAW, для женщин, 85 млрд, 90 вегетарианских капсул (28,33 млрд живых культур в 1 капсуле)",Garden of Life,,90,шт.,0.25,6988,Поддержка пищеварения,11.4,6.4,6.4,пробиотик raw женщина млрд,13
13322,"Dr. Mercola, Полные пробиотики для женщин, 70 млрд КОЕ, 90 капсул",Dr. Mercola,2025-01-01,90,шт.,0.25,14209,Поддержка пищеварения,12.1,6.5,6.4,полный пробиотик женщина млрд кой,13
13323,"Solaray, Super Multidophilus, 30 млрд, 60 вегетарианских капсул, покрытых кишечнорастворимой оболочкой (15 млрд КОЕ в 1 капсуле)",Solaray,2025-06-01,60,шт.,0.07,4386,Поддержка пищеварения,11.2,5.1,5.1,super multidophilus млрд вегетарианский капсула,13
13324,"New Chapter, Пробиотик All-Flora, 10 млрд КОЕ, 60 веганских капсул",New Chapter,,60,шт.,0.2,8978,Поддержка пищеварения,11.0,6.0,5.8,пробиотик all flora млрд кой,13
13325,"Life Extension, Florassist, пробиотик для ЖКТ с фаговой технологией, 30 вегетарианских капсул с жидкостью",Life Extension,2025-07-01,30,шт.,0.05,4250,Поддержка пищеварения,9.3,4.7,4.4,florassist пробиотик жкт фаговый технология,13
13326,"NOW Foods, Gr8-Dophilus, 120 вегетарианских капсул",NOW Foods,2025-11-01,120,шт.,0.09,3599,Поддержка пищеварения,6.1,11.2,6.1,gr8 dophilus,13
13327,"Nature's Bounty, Optimal Solutions, для женского здоровья, пробиотик для контролируемой доставки, 30 капсул",Nature's Bounty,2024-11-01,30,шт.,0.07,3451,Поддержка пищеварения,11.2,6.1,5.6,optimal solutions женский здоровье пробиотик контролируемый доставка,13
13328,"Nordic Naturals, Nordic Flora, пробиотик, ежедневная добавка, 12 млрд, 60 капсул (6 млрд КОЕ на капсулу)",Nordic Naturals,2025-10-01,60,шт.,0.07,4505,Поддержка пищеварения,10.4,5.8,6.1,nordic flora пробиотик ежедневный добавка млрд,13
13329,"Natural Factors, Calm Biotic, 3 миллиарда, 30 вегетарианских капсул",Natural Factors,2026-04-01,30,шт.,0.05,2927,Поддержка пищеварения,10.9,6.1,6.0,calm biotic миллиард,13
13330,"Vibrant Health, Green Vibrance + 25 млрд пробиотиков, версия 21.0, шоколад и кокос, 350 г (12,35 унции)",Vibrant Health,2025-08-01,350,г,0.43,8257,Поддержка пищеварения,14.9,9.3,9.3,green vibrance млрд пробиотик версия 21.0 шоколад кокос,13
13331,"NOW Foods, 8 млрд ацидофильных и бифидобактерий, 120 вегетарианских капсул",NOW Foods,2025-12-01,120,шт.,0.07,4696,Поддержка пищеварения,10.2,5.1,5.1,млрд ацидофильный бифидобактерия,13
13332,"21st Century, Смесь пробиотиков Acidophilus, 100 капсул",21st Century,2026-06-01,100,шт.,0.09,1434,Поддержка пищеварения,9.4,6.4,4.6,смесь пробиотик acidophilus,13
13333,"Nature's Way, Fortify, пробиотики и пребиотики для людей старше 50 лет, с повышенной силой действия, 50 млрд, 30 капсул с отсроченным высвобождением",Nature's Way,2025-09-01,30,шт.,0.07,3730,Поддержка пищеварения,13.5,8.1,6.5,fortify пробиотик пребиотик человек старый год повышенный сила действие млрд,13
13334,"Jarrow Formulas, Vegan Jarro-Dophilus Plus FOS, 100 растительных капсул",Jarrow Formulas,2024-12-01,100,шт.,0.07,4143,Поддержка пищеварения,9.7,5.2,5.1,vegan jarro dophilus plus fos,13
13335,"Garden of Life, RAW Probiotics Ultimate Care, 30 вегетарианских капсул",Garden of Life,,30,шт.,0.18,6988,Поддержка пищеварения,12.4,6.4,6.1,raw probiotics ultimate care,13
13336,"NOW Foods, пробиотик для поддержки дыхательной системы, 60 растительных капсул",NOW Foods,2025-05-01,60,шт.,0.05,3263,Поддержка пищеварения,8.8,4.7,4.7,пробиотик поддержка дыхательный система,13
13337,"NOW Foods, Probiotic Defense, 90 растительных капсул",NOW Foods,2025-03-01,90,шт.,0.09,3518,Поддержка пищеварения,11.2,5.8,5.8,probiotic defense,13
13338,"Dr. Mercola, Полные пробиотики, 70 млрд КОЕ, 30 капсул",Dr. Mercola,2025-05-01,30,шт.,0.11,5102,Поддержка пищеварения,9.0,5.0,4.8,полный пробиотик млрд кой,13
13339,"Kyolic, Kyo Dophilus, фермент и пробиотик, 60 капсул",Kyolic,2026-11-01,60,шт.,0.16,3025,Поддержка пищеварения,10.4,5.5,5.3,kyo dophilus фермент пробиотик,13
13340,"NOW Foods, Probiotic-10 & Bifido Boost, пробиотик, 25 млрд КОЕ, 90 растительных капсул (8,33 млрд КОЕ в 1 капсуле)",NOW Foods,2026-02-01,90,шт.,0.11,3263,Поддержка пищеварения,11.2,5.6,5.6,probiotic bifido boost пробиотик млрд кой,13
13341,"Solaray, Mycrobiome Probiotic, Mouth and Throat, со вкусом ягод, 5 млрд, 30 леденцов",Solaray,,30,шт.,0.08,4779,Поддержка пищеварения,11.6,5.3,5.2,mycrobiome probiotic mouth and throat вкус ягода млрд,13
13342,"Natural Factors, Ultimate Probiotic, 24/12 Formula, 24 млрд КОЕ, 60 вегетарианских капсул",Natural Factors,2025-11-01,60,шт.,0.08,6678,Поддержка пищеварения,11.9,6.2,6.1,ultimate probiotic formula млрд кой,13
13343,"Futurebiotics, пробиотики с пребиотиками, 50 млрд КОЕ, 60 вегетарианских капсул (25 млрд КОЕ в 1 капсуле)",Futurebiotics,2025-08-01,60,шт.,0.07,3489,Поддержка пищеварения,5.1,10.2,5.1,пробиотик пребиотик млрд кой,13
13344,"NOW Foods, Probiotic-10, восстановление, 100 млрд., 30 вегетарианских капсул",NOW Foods,2025-06-01,30,шт.,0.05,6389,Поддержка пищеварения,8.6,4.8,4.8,probiotic восстановление млрд,13
13345,"Natural Factors, ReliefBiotic IB, 7 миллиардов, 30 вегетарианских капсул",Natural Factors,2025-07-01,30,шт.,0.07,2821,Поддержка пищеварения,10.9,6.1,6.0,reliefbiotic миллиард,13
13346,"Nature's Way, CranRx, уход для женщин с пробиотиками, 60 капсул",Nature's Way,2025-07-01,60,шт.,0.12,3758,Поддержка пищеварения,14.1,8.0,6.2,cranrx уход женщина пробиотик,13
13347,"Lake Avenue Nutrition, Пробиотики для женщин, 20 млрд КОЕ, 60 растительных капсул",Lake Avenue Nutrition,2025-11-01,60,шт.,0.04,4386,Поддержка пищеварения,8.6,4.6,4.8,пробиотик женщина млрд кой,13
13348,"Solaray, пробиотик Mycrobiome для женщин, 50 млрд живых культур, 30 вегетарианских капсул, покрытых кишечнорастворимой оболочкой",Solaray,2025-07-01,30,шт.,0.07,6567,Поддержка пищеварения,11.9,5.3,5.3,пробиотик mycrobiome женщина млрд живой культура вегетарианский капсула,13
13349,"Probulin, Daily Care, пробиотик, 10 млрд КОЕ, 30 капсул",Probulin,2025-07-01,30,шт.,0.05,3878,Поддержка пищеварения,11.9,8.5,4.4,daily care пробиотик млрд кой,13
13350,"Natural Factors, Ultima Probiotic Women’s, пробиотик для женщин, 12 млрд КОЕ, 60 вегетарианских капсул",Natural Factors,,60,шт.,0.09,4549,Поддержка пищеварения,11.7,6.1,6.4,ultima probiotic women пробиотик женщина млрд кой,13
13351,"NATURELO, пробиотик, 50 млрд КОЕ, 30 капсул с отсроченным высвобождением",NATURELO,2025-03-01,30,шт.,0.05,3954,Поддержка пищеварения,10.7,4.8,5.1,пробиотик млрд кой,13
13352,"KAL, Пробиотик ацидофилус-4, 250 вегетарианских капсул",KAL,2025-06-01,250,шт.,0.17,3425,Поддержка пищеварения,7.1,7.2,13.2,пробиотик ацидофилус,13
13353,"Sunwarrior, пробиотики, 10 млрд КОЕ, 30 веганских капсул",Sunwarrior,,30,шт.,0.07,6522,Поддержка пищеварения,9.9,5.5,5.5,пробиотик млрд кой,13
13354,"Source Naturals, ФОС (фруктоолигосахариды), 100 таблеток",Source Naturals,2026-12-01,100,шт.,0.16,2486,Поддержка пищеварения,11.2,6.1,6.1,фос фруктоолигосахарид,13
13355,"NOW Foods, алоэ 10 000 с пробиотиками, 60 растительных капсул",NOW Foods,2025-09-01,60,шт.,0.06,2319,Поддержка пищеварения,5.1,5.1,10.7,алоэ пробиотик,13
13356,"Zahler, BioDophilus100, улучшенная формула с пробиотиками, 100 млрд КОЕ, 30 капсул",Zahler,2026-06-01,30,шт.,0.14,8489,Поддержка пищеварения,9.9,5.2,5.1,biodophilus100 улучшать формула пробиотик млрд кой,13
13357,"InnovixLabs, мультиштаммовый пробиотик, 50 млрд, 60 капсул",InnovixLabs,2025-11-01,60,шт.,0.06,5898,Поддержка пищеварения,11.0,5.6,5.6,мультиштаммовый пробиотик млрд,13
13358,"Protocol for Life Balance, жевательные пробиотики, для детей и взрослых, 2 млрд, 90 жевательных таблеток",Protocol for Life Balance,2025-06-01,90,шт.,0.18,3797,Поддержка пищеварения,11.7,6.4,6.4,жевательный пробиотик ребенок взрослый млрд,13
13359,"Garden of Life, RAW Probiotics, для восстановления микрофлоры влагалища, 50 млрд, 30 вегетарианских капсул",Garden of Life,,30,шт.,0.16,5677,Поддержка пищеварения,12.1,5.8,6.4,raw probiotics восстановление микрофлора влагалище млрд,13
13360,"Force Factor, ProbioSlim, повышенной силы действия, 30 млрд КОЕ, 120 капсул",Force Factor,2026-08-01,120,шт.,0.15,4288,Поддержка пищеварения,11.9,6.6,6.9,probioslim повышенный сила действие млрд кой,13
13361,"Natural Factors, Ultimate Probiotic Critical Care, 55 миллиардов КОЕ, 30 вегетарианских капсул",Natural Factors,2026-09-01,30,шт.,0.06,5628,Поддержка пищеварения,10.9,5.8,6.1,ultimate probiotic critical care миллиард кой,13
13362,"Ancient Nutrition, Органический коллаген из костного бульона, с шоколадным вкусом, 15,9 унций (450 г)",Ancient Nutrition,2025-08-01,60,шт.,0.09,8340,Поддержка пищеварения,11.8,6.2,6.2,органический коллаген костный бульон шоколадный вкус,13
13363,"Protocol for Life Balance, ProtoDophilus, 50 млрд, 10 штаммов, 50 вегетарианских капсул",Protocol for Life Balance,2025-08-01,50,шт.,0.14,8494,Поддержка пищеварения,9.7,5.1,5.1,protodophilus млрд штамм,13
13364,"Sports Research, пробиотики с отсроченным высвобождением для ежедневного приема, 60 млрд КОЕ, 30 растительных капсул",Sports Research,2025-06-01,30,шт.,0.05,4450,Поддержка пищеварения,9.3,5.2,5.2,пробиотик отсрочивать высвобождение ежедневный прием млрд кой,13
13365,"Probulin, Пробиотик для ежедневного ухода, 10 млрд КОЕ, 60 капсул",Probulin,2025-08-01,60,шт.,0.07,6873,Поддержка пищеварения,11.9,8.6,5.0,пробиотик ежедневный уход млрд кой,13
13366,"Thorne, FloraMend Prime Probiotic, 30 капсул",Thorne,2025-05-01,30,шт.,0.12,8198,Поддержка пищеварения,8.8,5.1,5.0,floramend prime probiotic,13
13367,"Renew Life, Ultimate Flora, Go-Pack пробиотик с повышенной силой действия, 30 млрд живых культур, 30 вегетарианских капсул",Renew Life,,30,шт.,0.05,3952,Поддержка пищеварения,8.4,4.6,14.2,ultimate flora pack пробиотик повышенный сила действие млрд живой культура,13
13368,"Dr. Ohhira's, Probiotics, Professional Formula, 60 капсул",Dr. Ohhira's,2026-07-01,60,шт.,0.07,9140,Поддержка пищеварения,10.9,5.6,5.1,probiotics professional formula,13
13369,"Nature's Way, Probiotic Pearls Complete, пробиотик, 90 капсул",Nature's Way,2025-05-01,90,шт.,0.05,6360,Поддержка пищеварения,12.4,9.3,4.1,probiotic pearls complete пробиотик,13
13370,"Country Life, Power-Dophilus, безмолочный пробиотик, 200 веганских капсул",Country Life,2025-09-01,200,шт.,0.34,5390,Поддержка пищеварения,13.0,6.7,6.6,power dophilus безмолочный пробиотик,13
13371,"LoveBug Probiotics, Here's The Skinny, пробиотик, 10 млрд КОЕ, 30 капсул",LoveBug Probiotics,2025-09-01,30,шт.,0.18,4283,Поддержка пищеварения,11.6,6.7,6.5,here the skinny пробиотик млрд кой,13
13372,"InnovixLabs, Mood Probiotic, добавка с пробиотиками для поддержки настроения, 60 капсул",InnovixLabs,2025-01-01,60,шт.,0.05,5102,Поддержка пищеварения,13.5,9.1,5.3,mood probiotic добавка пробиотик поддержка настроение,13
13373,"Nature's Answer, Sambucus + пробиотик, 60 веганских капсул DuoCap",Nature's Answer,2025-03-01,60,шт.,0.11,5102,Поддержка пищеварения,10.7,5.7,5.8,sambucus пробиотик,13
13374,"Zahler, BioDophilus25, улучшенная формула пробиотика, 25 млрд КОЕ, 120 капсул",Zahler,2026-06-01,120,шт.,0.2,8489,Поддержка пищеварения,11.6,6.1,6.0,biodophilus25 улучшать формула пробиотик млрд кой,13
13375,"Jarrow Formulas, Vegan Jarro-Dophilus, без аллергенов, 10 млрд КОЕ, 60 растительных капсул",Jarrow Formulas,,60,шт.,0.05,3157,Поддержка пищеварения,9.7,5.1,5.1,vegan jarro dophilus аллерген млрд кой,13
13376,"Ora, Lady Bugs, добавка с пробиотиками и пребиотиками для женщин, 60 капсул",Ora,2025-06-01,60,шт.,0.2,6369,Поддержка пищеварения,11.0,6.2,6.1,lady bugs добавка пробиотик пребиотик женщина,13
13377,"Physician's Choice, Thin 30, пробиотики, 15 млрд, 30 вегетарианских капсул с отсроченным высвобождением",Physician's Choice,2025-07-01,30,шт.,0.08,5098,Поддержка пищеварения,12.1,6.1,6.0,thin пробиотик млрд,13
13378,"NOW Foods, Probiotic-10, порошок, 50 млрд, 57 г (2 унции) (50 млрд в 1 г)",NOW Foods,,56.7,г,0.2,3904,Поддержка пищеварения,10.2,5.6,5.5,probiotic порошок млрд,13
13379,"Renew Life, Extra Care, пищеварительный пробиотик, 50 млрд КОЕ, 30 вегетарианских капсул",Renew Life,2025-11-01,30,шт.,0.07,5807,Поддержка пищеварения,11.3,5.7,5.5,extra care пищеварительный пробиотик млрд кой,13
13380,"Natural Factors, Ultimate Probiotic Critical Care, пробиотики для лечения критических состояний, 100 миллиардов КОЕ, 30 вегетарианских капсул",Natural Factors,2026-04-01,30,шт.,0.07,7701,Поддержка пищеварения,10.9,5.8,6.1,ultimate probiotic critical care пробиотик лечение критический состояние миллиард кой,13
13381,"Probulin, пробиотик для женщин, 20 млрд КОЕ, 60 капсул",Probulin,,60,шт.,0.06,8573,Поддержка пищеварения,11.7,8.4,4.6,пробиотик женщина млрд кой,13
13382,"NOW Foods, пробиотик для женщин, 20 млрд КОЕ, 50 растительных капсул",NOW Foods,2025-11-01,50,шт.,0.04,3599,Поддержка пищеварения,8.6,4.6,4.6,пробиотик женщина млрд кой,13
13383,"Schiff, Digestive Advantage, ежедневный пробиотик, 60 капсул",Schiff,2026-08-01,60,шт.,0.09,3669,Поддержка пищеварения,11.8,8.5,7.0,digestive advantage ежедневный пробиотик,13
13384,"Garden of Life, RAW Probiotics, Colon Care, необработанные пробиотики для поддержки здоровья кишечника, 30 вегетарианских капсул",Garden of Life,2025-03-01,30,шт.,0.18,5677,Поддержка пищеварения,5.8,5.8,12.2,raw probiotics colon care необработанный пробиотик поддержка здоровье кишечник,13
13385,"Ancient Nutrition, Органический коллаген из костного бульона, ваниль, 15,9 унций (450 г)",Ancient Nutrition,2025-08-01,60,шт.,0.09,8340,Поддержка пищеварения,11.9,6.4,6.1,органический коллаген костный бульон ваниль,13
13386,"NOW Foods, пробиотик-10, 100 млрд, 60 растительных капсул",NOW Foods,2025-12-01,60,шт.,0.07,8046,Поддержка пищеварения,11.2,5.6,5.6,пробиотик млрд,13
13387,"21st Century, клюква с добавлением пробиотика, 60 таблеток",21st Century,2026-10-01,60,шт.,0.08,1434,Поддержка пищеварения,9.9,5.6,5.3,клюква добавление пробиотик,13
13388,"Lake Avenue Nutrition, Пробиотик в мини-таблетках, 2 штамма здоровых бактерий, 1 млрд КОЕ, 30 маленьких мягких таблеток",Lake Avenue Nutrition,2024-11-01,30,шт.,0.02,1866,Поддержка пищеварения,14.2,8.9,2.8,пробиотик мини таблетка штамм здоровый бактерия млрд кой,13
13389,"Garden of Life, Dr. Formulated Probiotics, пробиотики, одна таблетка в день во время беременности, 30 вегетарианских капсул",Garden of Life,2024-08-01,30,шт.,0.16,3530,Поддержка пищеварения,11.9,6.1,6.1,formulated probiotics пробиотик таблетка день время беременность,13
13390,"Solgar, Advanced Multi-Billion Dophilus, пробиотик, 60 растительных капсул",Solgar,2025-05-01,60,шт.,0.11,3231,Поддержка пищеварения,9.7,5.3,5.3,advanced multi billion dophilus пробиотик,13
13391,"Solaray, Mycrobiome Probiotic Weight Formula, 50 млрд, 30 капсул с кишечным растительным экстрактом",Solaray,2025-11-01,30,шт.,0.06,6511,Поддержка пищеварения,11.7,5.3,5.3,mycrobiome probiotic weight formula млрд,13
13392,"Zahler, BioDophilus60, улучшенная формула пробиотика, 60 млрд КОЕ, 60 капсул",Zahler,2026-06-01,60,шт.,0.18,10611,Поддержка пищеварения,10.5,5.5,5.5,biodophilus60 улучшать формула пробиотик млрд кой,13
13393,"Renew Life, Ultimate Flora, пробиотик с повышенной силой действия, 50 млрд живых культур, 90 вегетарианских капсул",Renew Life,2025-10-01,90,шт.,0.09,14325,Поддержка пищеварения,13.6,7.1,6.5,ultimate flora пробиотик повышенный сила действие млрд живой культура,13
13394,"Eclectic Institute, фиолетовый пробиотик, 300 мг, 90 капсул VegCaps",Eclectic Institute,2027-08-01,90,шт.,0.05,3727,Поддержка пищеварения,8.9,5.1,5.1,фиолетовый пробиотик,13
13395,"Force Factor, ProbioSlim + Next-Gen SLIMVANCE, 60 капсул",Force Factor,2024-06-01,60,шт.,0.07,4981,Поддержка пищеварения,10.7,4.8,4.8,probioslim next gen slimvance,13
13396,"Codeage, пробиотик для кожи, 50 млрд КОЕ, 60 капсул",Codeage,2026-09-01,60,шт.,0.09,5898,Поддержка пищеварения,9.3,6.5,6.5,пробиотик кожа млрд кой,13
13397,"Renew Life, Ultimate Flora, пробиотик с повышенной силой действия, 50 млрд живых культур, 60 вегетарианских капсул",Renew Life,2025-10-01,60,шт.,0.07,11173,Поддержка пищеварения,12.1,6.4,6.4,ultimate flora пробиотик повышенный сила действие млрд живой культура,13
13398,"Dr. Mercola, Complete Spore Restore, 4 млрд КОЕ, 90 капсул",Dr. Mercola,2025-08-01,90,шт.,0.2,13110,Поддержка пищеварения,10.7,5.6,5.6,complete spore restore млрд кой,13
13399,"Jarrow Formulas, Jarro-Dophilus EPS, пробиотики, 10 млрд, 120 растительных капсул (5 млрд в 1 капсуле)",Jarrow Formulas,2024-12-01,120,шт.,0.14,6291,Поддержка пищеварения,13.2,12.2,8.9,jarro dophilus eps пробиотик млрд,13
13400,"Sports Research, Пробиотики для женщин, клюква, 65 млрд КОЕ, 30 капсул с отсроченным высвобождением",Sports Research,2027-03-01,30,шт.,0.05,4450,Поддержка пищеварения,9.4,5.2,5.2,пробиотик женщина клюква млрд кой,13
13401,"Obvi, Superfood Pinks, розовый лимонад, 124 г (4,37 унции)",Obvi,2024-10-01,125,г,0.16,5102,Поддержка пищеварения,7.9,7.2,7.2,superfood pinks розовый лимонад,13
13402,"LoveBug Probiotics, пренатальный пробиотик, 20 млрд КОЕ, 30 капсул",LoveBug Probiotics,2026-10-01,30,шт.,0.16,4283,Поддержка пищеварения,11.6,6.6,6.5,пренатальный пробиотик млрд кой,13
13403,"Probulin, Поддержка толстого кишечника, пробиотик, 30 капсул",Probulin,2025-08-01,30,шт.,0.04,5819,Поддержка пищеварения,11.7,8.4,4.3,поддержка толстой кишечник пробиотик,13
13404,"American Health, Один раз в день жевательный пробиотик, натуральная клубника, 5 млрд КОЕ, 60 жевательных таблеток",American Health,,60,шт.,0.08,3629,Поддержка пищеварения,8.6,6.2,3.8,день жевательный пробиотик натуральный клубника млрд кой,13
13405,"InnovixLabs, пребиотическая клетчатка широкого спектра действия, без добавок, 180 г (6,4 жидк. унции)",InnovixLabs,2026-05-01,181,г,0.25,4290,Поддержка пищеварения,9.0,9.1,9.5,пребиотический клетчатка широкий спектр действие добавка,13
13406,"Culturelle, пробиотики, здоровье и хорошее самочувствие, 15 миллиардов КОЕ, 30 вегетарианских капсул для приема один раз в день",Culturelle,2025-01-01,30,шт.,0.05,4818,Поддержка пищеварения,3.0,9.4,14.0,пробиотик здоровье хороший самочувствие миллиард кой,13
13407,"NOW Foods, повышенная сила действия, Dophilus со вкусом ягод, 50 жевательных таблеток",NOW Foods,2025-07-01,50,шт.,0.11,4124,Поддержка пищеварения,10.7,5.1,5.1,повышенный сила действие dophilus вкус ягода,13
13408,"HealthForce Superfoods, Friendly Force, усовершенствованный пробиотик, 50 млрд, 120 веганских капсул (25 млрд КОЕ в 1 капсуле)",HealthForce Superfoods,2024-07-01,120,шт.,0.23,9798,Поддержка пищеварения,10.9,6.1,6.1,friendly force усовершенствованный пробиотик млрд,13
13409,"Jarrow Formulas, Jarro-Dophilus Gut Calm, 30 вегетарианских капсул с отсроченным высвобождением",Jarrow Formulas,2025-03-01,30,шт.,0.07,3878,Поддержка пищеварения,8.6,5.8,5.7,jarro dophilus gut calm,13
13410,"Mason Natural, Пробиотик с пребиотиком, 40 вегетарианских капсул",Mason Natural,2025-04-01,40,шт.,0.05,2447,Поддержка пищеварения,10.4,5.1,5.1,пробиотик пребиотик,13
13411,"Nordic Naturals, Nordic Flora Probiotic, Comfort, 15 млрд КОЕ, 30 капсул",Nordic Naturals,2025-01-01,30,шт.,0.06,5736,Поддержка пищеварения,10.4,5.8,6.1,nordic flora probiotic comfort млрд кой,13
13412,"Nature's Way, ацидофильные пробиотики в виде жемчужин, 1 млрд КОЕ, 90 капсул",Nature's Way,2025-01-01,90,шт.,0.05,5158,Поддержка пищеварения,4.1,10.9,11.9,ацидофильный пробиотик вид жемчужина млрд кой,13
13413,"Enzymedica, Pro-Bio, пробиотик гарантированного действия, 90 капсул",Enzymedica,2025-05-01,90,шт.,0.05,7673,Поддержка пищеварения,11.2,5.6,5.6,pro bio пробиотик гарантировать действие,13
13414,"Natural Factors, Ultimate Probiotic, для пожилых людей, 35 млрд КОЕ, 30 вегетарианских капсул",Natural Factors,2026-06-01,30,шт.,0.05,4549,Поддержка пищеварения,10.9,6.0,5.8,ultimate probiotic пожилой человек млрд кой,13
13415,"California Gold Nutrition, LactoBif 65, пробиотики, 65 млрд КОЕ, 30 вегетарианских капсул",California Gold Nutrition,2025-11-01,30,шт.,0.05,4285,Поддержка пищеварения,14.0,8.5,3.0,lactobif пробиотик млрд кой,13
13416,"Vitanica, FemEcology, вагинальная пробиотическая поддержка, 10 млрд КОЕ, 30 веганских капсул",Vitanica,2025-11-01,30,шт.,0.02,3960,Поддержка пищеварения,4.6,4.6,8.6,femecology вагинальный пробиотический поддержка млрд кой,13
13417,"Sunbiotics, Tummy Tables, жевательные таблетки с пробиотиками и пребиотиками, со вкусом ванили, 30 вегетарианских таблеток",Sunbiotics,2025-07-01,30,шт.,0.16,3896,Поддержка пищеварения,9.7,5.2,5.2,tummy tables жевательный таблетка пробиотик пребиотик вкус ваниль,13
13418,"Nordic Naturals, Nordic Flora Probiotic, для поддержания здоровья иммунной системы, 60 млрд КОЕ, 30 капсул",Nordic Naturals,2025-03-01,30,шт.,0.06,7060,Поддержка пищеварения,10.3,5.8,6.0,nordic flora probiotic поддержание здоровье иммунный система млрд кой,13
13419,"Dr. John's Healthy Sweets, Пробиотики, леденцы для здоровья пищеварительной системы, с клетчаткой и витамином C, клубника, персик и яблоко, без сахара, 1 миллиард, 14 леденцов на палочке в индивидуальной упаковке, 109 г (3,85 унции)",Dr. John's Healthy Sweets,2025-09-01,14,шт.,0.15,2444,Поддержка пищеварения,14.9,17.0,5.0,пробиотик леденец здоровье пищеварительный система клетчатка витамин клубника персик яблоко сахар миллиард леденец палочка индивидуальный упаковка,13
13420,"Hyperbiotics, PRO-Dental, пищевая добавка для здоровья полости рта, с натуральным мятным вкусом, 90 жевательных таблеток",Hyperbiotics,2025-05-01,90,шт.,0.08,8981,Поддержка пищеварения,9.7,5.1,5.1,pro dental пищевой добавка здоровье полость рот натуральный мятный вкус,13
13421,"Natural Factors, Лучший пробиотик, формула 12/12, 12 миллиардов, 60 вегетарианских капсул",Natural Factors,2026-04-01,60,шт.,0.08,4549,Поддержка пищеварения,10.9,6.1,6.0,хороший пробиотик формула миллиард,13
13422,"NatureWise, пробиотики для полости рта, для детей и взрослых, с мятой, 50 жевательных таблеток",NatureWise,2025-08-01,50,шт.,0.07,4616,Поддержка пищеварения,11.0,10.2,5.8,пробиотик полость рот ребенок взрослый мятый,13
13423,"Onnit, Total Gut Health, пакетики с пищевой добавкой, 15 штук",Onnit,2025-05-01,15,шт.,0.14,6363,Поддержка пищеварения,15.2,9.4,9.4,total gut health пакетик пищевой добавка,13
13424,"Life Extension, FLORASSIST, пробиотик, для здоровья женщин, 30 вегетарианских капсул",Life Extension,2025-11-01,30,шт.,0.04,4127,Поддержка пищеварения,9.1,4.6,4.6,florassist пробиотик здоровье женщина,13
